openrouter_model_id,openrouter_model_name,proposed_lmsys_model_name,proposed_lmsys_elo_score,match_confidence_score,notes_or_reasoning,id_similarity,name_similarity
ai21/jamba-1.6-large,AI21: Jamba 1.6 Large,Jamba-1.5-Large,1218,78.57,Moderate similarity match,78.57,78.57
ai21/jamba-1.6-mini,AI21: Jamba Mini 1.6,Jamba-1.5-Mini,1173,76.92,Moderate similarity match,76.92,69.23
allenai/olmo-7b-instruct,OLMo 7B Instruct,OLMo-7B-instruct,1012,100.0,High name similarity,80.0,100.0
allenai/olmo-7b-instruct,OLMo 7B Instruct,SmolLM2-1.7B-Instruct,1043,81.25,Moderate similarity match,66.67,81.25
amazon/nova-lite-v1,Amazon: Nova Lite 1.0,Amazon Nova Lite 1.0,1213,100.0,High ID similarity; High name similarity,93.75,100.0
amazon/nova-micro-v1,Amazon: Nova Micro 1.0,Amazon Nova Micro 1.0,1194,100.0,High ID similarity; High name similarity,94.12,100.0
amazon/nova-micro-v1,Amazon: Nova Micro 1.0,Amazon Nova Pro 1.0,1241,87.5,High name similarity,81.25,87.5
amazon/nova-pro-v1,Amazon: Nova Pro 1.0,Amazon Nova Pro 1.0,1241,100.0,High ID similarity; High name similarity,93.33,100.0
amazon/nova-pro-v1,Amazon: Nova Pro 1.0,Amazon Nova Micro 1.0,1194,87.5,High name similarity,81.25,87.5
anthropic/claude-3-haiku,Anthropic: Claude 3 Haiku,Claude 3 Haiku,1176,72.73,Moderate similarity match,72.73,72.73
anthropic/claude-3-opus,Anthropic: Claude 3 Opus,Claude 3 Opus,1244,70.97,Moderate similarity match,70.97,70.97
anthropic/claude-3-sonnet,Anthropic: Claude 3 Sonnet,Claude 3 Sonnet,1198,74.29,Moderate similarity match,74.29,74.29
anthropic/claude-3-sonnet,Anthropic: Claude 3 Sonnet,Claude 3.7 Sonnet,1287,72.22,Moderate similarity match,72.22,72.22
anthropic/claude-3.5-haiku,Anthropic: Claude 3.5 Haiku,Claude 3 Haiku,1176,70.59,Moderate similarity match,70.59,70.59
anthropic/claude-3.5-haiku-20241022,Anthropic: Claude 3.5 Haiku (2024-10-22),Claude 3.5 Haiku (20241022),1234,82.35,Moderate similarity match,82.35,82.35
anthropic/claude-3.5-haiku-20241022:beta,Anthropic: Claude 3.5 Haiku (2024-10-22) (self-moderated),Claude 3.5 Haiku (20241022),1234,76.36,Moderate similarity match,76.36,65.62
anthropic/claude-3.5-sonnet,Anthropic: Claude 3.5 Sonnet,Claude 3 Sonnet,1198,72.22,Moderate similarity match,72.22,72.22
