openrouter_id,display_name,is_active,description,context_length,input_price_usd_million,output_price_usd_million,is_multimodal,cost_band,is_free,supports_reasoning,supports_pdf,current_elo_score,created_at,updated_at,matched_lmsys_model,matched_elo_score,match_confidence,match_reasoning,lmsys_rank,lmsys_organization,has_elo_match
01-ai/yi-large,01.AI: Yi Large,YES,"The Yi Large model was designed by 01.AI with the following usecases in mind: knowledge search, data classification, human-like chat bots, and customer service.

It stands out for its multilingual proficiency, particularly in Spanish, Chinese, Japanese, German, and French.

Check out the [launch announcement](https://01-ai.github.io/blog/01.ai-yi-large-llm-launch) to learn more.",32768,6.0,6.0,NO,$$,NO,NO,NO,,2025-05-07 21:34:51.563806,2025-05-24 17:00:04.429845,,,,No confident match found,,,NO
aetherwiing/mn-starcannon-12b,Aetherwiing: Starcannon 12B,YES,"Starcannon 12B v2 is a creative roleplay and story writing model, based on Mistral Nemo, using [nothingiisreal/mn-celeste-12b](/nothingiisreal/mn-celeste-12b) as a base, with [intervitens/mini-magnum-12b-v1.1](https://huggingface.co/intervitens/mini-magnum-12b-v1.1) merged in using the [TIES](https://arxiv.org/abs/2306.01708) method.

Although more similar to Magnum overall, the model remains very creative, with a pleasant writing style. It is recommended for people wanting more variety than Magnum, and yet more verbose prose than Celeste.",16384,1.5999999999999999,2.4,NO,$$,NO,NO,NO,,2025-05-07 21:34:51.563806,2025-05-24 16:59:58.672403,,,,No confident match found,,,NO
agentica-org/deepcoder-14b-preview:free,Agentica: Deepcoder 14B Preview (free),YES,"DeepCoder-14B-Preview is a 14B parameter code generation model fine-tuned from DeepSeek-R1-Distill-Qwen-14B using reinforcement learning with GRPO+ and iterative context lengthening. It is optimized for long-context program synthesis and achieves strong performance across coding benchmarks, including 60.6% on LiveCodeBench v5, competitive with models like o3-Mini",96000,,,NO,,YES,YES,NO,,2025-05-07 21:34:51.563806,2025-05-24 16:59:15.129754,,,,No confident match found,,,NO
ai21/jamba-1.6-large,AI21: Jamba 1.6 Large,YES,"AI21 Jamba Large 1.6 is a high-performance hybrid foundation model combining State Space Models (Mamba) with Transformer attention mechanisms. Developed by AI21, it excels in extremely long-context handling (256K tokens), demonstrates superior inference efficiency (up to 2.5x faster than comparable models), and supports structured JSON output and tool-use capabilities. It has 94 billion active parameters (398 billion total), optimized quantization support (ExpertsInt8), and multilingual proficiency in languages such as English, Spanish, French, Portuguese, Italian, Dutch, German, Arabic, and Hebrew.

Usage of this model is subject to the [Jamba Open Model License](https://www.ai21.com/licenses/jamba-open-model-license).",256000,4.0,16.0,NO,$$$,NO,NO,NO,,2025-05-07 21:34:51.563806,2025-05-24 16:59:22.629816,Jamba-1.5-Large,1218,72.67%,Exact variant match; High string similarity; Same model family,83,AI21 Labs,YES
ai21/jamba-1.6-mini,AI21: Jamba Mini 1.6,YES,"AI21 Jamba Mini 1.6 is a hybrid foundation model combining State Space Models (Mamba) with Transformer attention mechanisms. With 12 billion active parameters (52 billion total), this model excels in extremely long-context tasks (up to 256K tokens) and achieves superior inference efficiency, outperforming comparable open models on tasks such as retrieval-augmented generation (RAG) and grounded question answering. Jamba Mini 1.6 supports multilingual tasks across English, Spanish, French, Portuguese, Italian, Dutch, German, Arabic, and Hebrew, along with structured JSON output and tool-use capabilities.

Usage of this model is subject to the [Jamba Open Model License](https://www.ai21.com/licenses/jamba-open-model-license).",256000,0.39999999999999997,0.7999999999999999,NO,$,NO,NO,NO,,2025-05-07 21:34:51.563806,2025-05-24 16:59:22.829841,Jamba-1.5-Mini,1173,84.36%,Exact variant match; High string similarity; Same model family,106,AI21 Labs,YES
aion-labs/aion-1.0,AionLabs: Aion-1.0,YES,"Aion-1.0 is a multi-model system designed for high performance across various tasks, including reasoning and coding. It is built on DeepSeek-R1, augmented with additional models and techniques such as Tree of Thoughts (ToT) and Mixture of Experts (MoE). It is Aion Lab's most powerful reasoning model.",131072,8.0,16.0,NO,$$$,NO,YES,NO,,2025-05-07 21:34:51.563806,2025-05-24 16:59:31.129842,,,,No confident match found,,,NO
aion-labs/aion-1.0-mini,AionLabs: Aion-1.0-Mini,YES,"Aion-1.0-Mini 32B parameter model is a distilled version of the DeepSeek-R1 model, designed for strong performance in reasoning domains such as mathematics, coding, and logic. It is a modified variant of a FuseAI model that outperforms R1-Distill-Qwen-32B and R1-Distill-Llama-70B, with benchmark results available on its [Hugging Face page](https://huggingface.co/FuseAI/FuseO1-DeepSeekR1-QwQ-SkyT1-32B-Preview), independently replicated for verification.",131072,1.4,2.8,NO,$$,NO,YES,NO,,2025-05-07 21:34:51.563806,2025-05-24 16:59:31.329844,o1-mini,1300,73.6%,Exact variant match; Same model family,27,OpenAI,YES
aion-labs/aion-rp-llama-3.1-8b,AionLabs: Aion-RP 1.0 (8B),YES,"Aion-RP-Llama-3.1-8B ranks the highest in the character evaluation portion of the RPBench-Auto benchmark, a roleplaying-specific variant of Arena-Hard-Auto, where LLMs evaluate each other’s responses. It is a fine-tuned base model rather than an instruct model, designed to produce more natural and varied writing.",32768,0.39999999999999997,0.39999999999999997,NO,$,NO,NO,NO,1300,2025-05-07 21:34:51.563806,2025-05-24 16:59:31.629965,Llama-3.1-Tulu-3-8B,1182,83.46%,Exact variant match; Strong feature alignment; Same model family,101,Ai2,YES
alfredpros/codellama-7b-instruct-solidity,AlfredPros: CodeLLaMa 7B Instruct Solidity,YES,A finetuned 7 billion parameters Code LLaMA - Instruct model to generate Solidity smart contract using 4-bit QLoRA finetuning provided by PEFT library.,4096,1.5999999999999999,2.4,NO,$$,NO,NO,NO,1300,2025-05-07 21:34:51.563806,2025-05-24 16:59:14.630104,,,,No confident match found,,,NO
all-hands/openhands-lm-32b-v0.1,OpenHands LM 32B V0.1,YES,"OpenHands LM v0.1 is a 32B open-source coding model fine-tuned from Qwen2.5-Coder-32B-Instruct using reinforcement learning techniques outlined in SWE-Gym. It is optimized for autonomous software development agents and achieves strong performance on SWE-Bench Verified, with a 37.2% resolve rate. The model supports a 128K token context window, making it well-suited for long-horizon code reasoning and large codebase tasks.

OpenHands LM is designed for local deployment and runs on consumer-grade GPUs such as a single 3090. It enables fully offline agent workflows without dependency on proprietary APIs. This release is intended as a research preview, and future updates aim to improve generalizability, reduce repetition, and offer smaller variants.",16384,5.2,6.8,NO,$$,NO,NO,NO,,2025-05-07 21:34:51.563806,2025-05-24 16:59:18.029927,Aya-Expanse-32B,1206,70.67%,Exact variant match; Same model family,88,Cohere,YES
